Math Challenge name,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18
MC1,8,7,9,4,4,12,6,6,6,9,8,"a. 1,2,3 b. 1,1,2,4 c. 1,1,1,1,2,6",8,15,16,12,21,30
MC2,11,4,3,3,3,9,448,3,112,11,14,210,36,361,4,145,16,47
